source_file,source_type,event_number,weight,n_electrons,n_muons,n_jets,met_gev,leading_electron_pt_gev,leading_muon_pt_gev,leading_jet_pt_gev,electron_mt_gev,muon_mt_gev,has_same_sign_leptons,trigE,trigM,n_btag_jets,has_os_ee,has_os_mumu,has_em_control,z_ee_in_window,z_mumu_in_window,best_z_ee_mass_gev,best_z_mumu_mass_gev
data_A.1lep.root,data,112455808,1.0,0,1,0,34.424698,,34.90476989746094,,,69.22068247554256,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111703888,1.0,0,1,0,34.983284,,31.792251586914062,,,66.68484179292386,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112119074,1.0,0,1,0,39.912132,,31.778709411621094,,,71.12518950023076,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111894056,1.0,0,1,1,32.298355,,75.75118255615234,65.36363220214844,,98.4674265610267,False,False,True,1,False,False,False,False,False,,
data_A.1lep.root,data,112067972,1.0,0,1,0,38.853077,,40.573001861572266,,,79.40692285311347,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112462580,1.0,0,1,0,40.22508,,37.32247543334961,,,77.48746998257513,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112768818,1.0,0,1,0,38.723892,,47.567657470703125,,,85.81043306861213,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112699497,1.0,0,1,0,35.965183,,27.70091438293457,,,62.91158241686341,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112755103,1.0,0,1,0,32.672234,,35.66863250732422,,,68.14979557482468,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112794093,1.0,0,1,0,33.7225,,41.280033111572266,,,74.569158626227,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112778472,1.0,0,1,0,31.594862,,33.09065246582031,,,63.65774867562088,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109206952,1.0,0,1,0,41.131485,,33.1732063293457,,,73.5320849320996,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109261275,1.0,0,1,0,43.423847,,29.41319465637207,,,71.27061446758455,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109314995,1.0,0,1,0,91.473045,,90.50020599365234,,,181.92299349751616,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109318592,1.0,0,1,0,34.507145,,36.22672653198242,,,70.57252935455624,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109371278,1.0,0,1,0,47.21572,,31.14517593383789,,,75.60352044185291,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,109405586,1.0,0,1,0,39.850647,,41.92127990722656,,,81.63977033467118,False,False,True,0,False,False,False,False,False,,
